Rings,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
6.447541476790144,1,0.455,0.365,0.095,0.514,0.2245,0.101,0.15
7.0,1,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07
8.16930193947874,-1,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21
7.838795259718026,1,0.44,0.365,0.125,0.516,0.2155,0.114,0.155
5.706884047966371,0,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055
8.613797499094535,0,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12
7.5261469367702905,-1,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33
4.47997738926991,-1,0.545,0.425,0.125,0.768,0.294,0.1495,0.26
9.0,1,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165
8.935754328693656,-1,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32
14.0,-1,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21
9.148766158881795,1,0.43,0.35,0.11,0.406,0.1675,0.081,0.135
6.352005785623178,1,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19
5.151217908985457,-1,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205
10.0,-1,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185
7.794042020261826,1,0.5,0.4,0.13,0.6645,0.258,0.133,0.24
7.0,0,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115
10.165632479848217,-1,0.44,0.34,0.1,0.451,0.188,0.087,0.13
5.671261121578894,1,0.365,0.295,0.08,0.2555,0.097,0.043,0.1
9.0,1,0.45,0.32,0.1,0.381,0.1705,0.075,0.115
4.963346335391952,1,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075
10.113784108126787,0,0.38,0.275,0.1,0.2255,0.08,0.049,0.085
6.432868470148009,-1,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27
4.149847029900094,-1,0.55,0.415,0.135,0.7635,0.318,0.21,0.2
5.466828336627374,-1,0.615,0.48,0.165,1.1615,0.513,0.301,0.305
8.264369098224176,-1,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3
11.0,-1,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285
7.932280146074314,1,0.59,0.445,0.14,0.931,0.356,0.234,0.28
9.39409556162776,1,0.605,0.475,0.18,0.9365,0.394,0.219,0.295
9.557302357887137,1,0.575,0.425,0.14,0.8635,0.393,0.227,0.2
10.0,1,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33
6.1606121582052555,-1,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46
9.798321937790009,1,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35
7.35286143908193,-1,0.68,0.55,0.175,1.798,0.815,0.3925,0.455
6.472158690007232,-1,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49
8.156952307903493,1,0.465,0.355,0.105,0.4795,0.227,0.124,0.125
10.498402570056708,-1,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34
7.835863732250621,-1,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145
9.218249465432969,-1,0.575,0.445,0.135,0.883,0.381,0.2035,0.26
8.190502478269385,1,0.355,0.29,0.09,0.3275,0.134,0.086,0.09
9.49004093388391,-1,0.45,0.335,0.105,0.425,0.1865,0.091,0.115
5.59928493367822,-1,0.55,0.425,0.135,0.8515,0.362,0.196,0.27
5.0,0,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02
2.345782059500036,0,0.205,0.15,0.055,0.042,0.0255,0.015,0.012
9.365874612097437,0,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015
7.0,0,0.39,0.295,0.095,0.203,0.0875,0.045,0.075
9.299361674096005,1,0.47,0.37,0.12,0.5795,0.293,0.227,0.14
11.50442908044797,-1,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15
8.128576141092447,0,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045
10.692737373280904,-1,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245
7.823536280035484,0,0.52,0.41,0.12,0.595,0.2385,0.111,0.19
6.700894202075421,1,0.4,0.32,0.095,0.303,0.1335,0.06,0.1
6.793779477395599,1,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16
10.0,-1,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15
7.984461791129455,1,0.405,0.31,0.1,0.385,0.173,0.0915,0.11
7.793966452429567,-1,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22
8.0,1,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135
4.733494008263681,1,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17
7.8632746972609135,0,0.245,0.19,0.06,0.086,0.042,0.014,0.025
7.0,-1,0.505,0.4,0.125,0.583,0.246,0.13,0.175
4.979005904525538,1,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135
9.0,1,0.505,0.405,0.11,0.625,0.305,0.16,0.175
10.0,-1,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2
9.556726063068263,1,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1
7.7029277962244915,1,0.52,0.4,0.12,0.58,0.234,0.1315,0.185
7.419140804277139,1,0.475,0.355,0.12,0.48,0.234,0.1015,0.135
12.0,-1,0.565,0.44,0.16,0.915,0.354,0.1935,0.32
7.9834149522427325,-1,0.595,0.495,0.185,1.285,0.416,0.224,0.485
6.529856244461847,-1,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17
6.7107893178275555,0,0.31,0.235,0.07,0.151,0.063,0.0405,0.045
13.0,1,0.555,0.425,0.13,0.7665,0.264,0.168,0.275
10.188806701160047,-1,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1
8.261209083122843,-1,0.595,0.475,0.17,1.247,0.48,0.225,0.425
7.6955173275284325,1,0.57,0.48,0.175,1.185,0.474,0.261,0.38
8.119681229189794,-1,0.605,0.45,0.195,1.098,0.481,0.2895,0.315
5.241519301513234,-1,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28
8.188582218870092,1,0.595,0.475,0.14,0.944,0.3625,0.189,0.315
10.0,-1,0.6,0.47,0.15,0.922,0.363,0.194,0.305
6.5579942937045095,-1,0.555,0.425,0.14,0.788,0.282,0.1595,0.285
14.0,-1,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345
7.934463424026379,-1,0.575,0.445,0.14,0.941,0.3845,0.252,0.285
8.204417864580513,1,0.62,0.51,0.175,1.615,0.5105,0.192,0.675
4.345646674651472,-1,0.52,0.425,0.165,0.9885,0.396,0.225,0.32
21.0,1,0.595,0.475,0.16,1.3175,0.408,0.234,0.58
8.676917184795798,1,0.58,0.45,0.14,1.013,0.38,0.216,0.36
5.963474998326314,-1,0.57,0.465,0.18,1.295,0.339,0.2225,0.44
8.018804052483254,1,0.625,0.465,0.14,1.195,0.4825,0.205,0.4
10.0,1,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26
9.474651751881634,-1,0.46,0.355,0.13,0.517,0.2205,0.114,0.165
4.504796867746316,-1,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33
7.8371511665970885,1,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255
8.4021398235482,1,0.555,0.44,0.15,0.755,0.307,0.1525,0.26
6.0809454716811855,1,0.595,0.465,0.175,1.115,0.4015,0.254,0.39
8.792027257590327,-1,0.625,0.495,0.165,1.262,0.507,0.318,0.39
5.312793648488224,1,0.695,0.56,0.19,1.494,0.588,0.3425,0.485
7.360294370648193,1,0.665,0.535,0.195,1.606,0.5755,0.388,0.48
9.0,1,0.535,0.435,0.15,0.725,0.269,0.1385,0.25
7.33531551901814,1,0.47,0.375,0.13,0.523,0.214,0.132,0.145
5.521499633904303,1,0.47,0.37,0.13,0.5225,0.201,0.133,0.165
