V1,V2,V3,V4,V5,V6,V7
Y1,7070.654081211933,7392.6,7527.6,7594.8,7720.7,7823.2
Y2,1344.3578585197715,1366.0,1288.0,1148.0,1139.0,1062.0
Y3,8404.516183812475,8660.0,8780.0,8830.0,8990.0,9230.0
Y4,9119.170171399264,9790.0,9940.0,9940.0,10110.0,10400.0
Y5,7228.557722704292,7420.0,7570.0,8010.0,8240.0,8730.0
Y6,3947.560624116339,3854.54,4003.45,4229.12,4502.05,4741.77
Y7,3169.24,3188.37,3231.05,3318.34,3430.45,3540.68
Y8,2713.871731853063,2357.19,2359.22,2346.79,2349.57,2352.89
Y9,2450.711976009856,2235.605,2234.682,2232.185,2217.827,2206.212
Y10,3125.0374545573663,2162.9,2181.906,2167.475,2135.708,2122.196
Y11,1818.467089152401,1445.935,1455.686,1460.164,1462.11,1466.256
Y12,1936.0268,1957.9027,1987.1855,2016.1373,2034.6528,2060.5974
Y13,6497.738017726827,4880.8,4991.3,5067.7,5412.5,5379.0
Y14,5198.0,4969.1,5156.8,5287.7,5609.8,5612.3
Y15,5616.4,5368.2,5739.3,5831.2,6491.5,6272.6
Y16,3068.4857971829438,2982.7,3012.5,3046.1,3171.5,3252.4
Y17,4892.860650044055,3896.2,3931.4,3975.3,4132.9,4226.1
Y18,2503.496912731861,3410.3,3471.0,3528.1,3651.0,3713.7
Y19,1675.1603866842481,2448.49,2404.06,2586.15,2601.35,2615.08
Y20,6439.423664345077,7190.36,7241.79,7562.98,7534.85,7461.09
Y21,8223.497807082105,9518.2,8390.5,9581.9,9374.1,8733.5
Y22,3868.6012538198656,3718.48,3701.49,3982.13,3999.56,4078.38
Y23,6430.843243514517,7951.6,7434.0,7537.1,7316.3,7240.9
Y24,7643.90191438025,7758.95,7849.52,8138.36,7924.66,7853.05
Y25,2895.510097065316,2473.02,2449.83,2508.1,2405.14,2344.65
Y26,5727.97,5875.35,5869.78,6260.36,6221.0,6273.72
Y27,1473.95,1552.501,1564.619,1612.608,1569.061,1555.66
Y28,3175.3650120889138,1432.702,1414.062,1479.589,1456.518,1465.493
Y29,7320.233635366699,3878.19,3902.188,3885.841,3853.194,3842.311
Y30,6424.982783453554,4352.551,4408.16,4450.216,4490.119,4552.869
Y31,5966.734006895576,3612.289,3641.019,3633.453,3652.999,3652.519
Y32,7557.677259457394,5060.605,5064.938,5059.442,5048.156,5053.33
Y33,4208.309258871091,1186.359,1186.328,1186.805,1184.368,1181.182
Y34,5100.764005625006,1610.8123,1627.5814,1629.4475,1632.7424,1638.7307
Y35,4532.48020831708,3186.738,3205.148,3204.902,3208.018,3234.029
Y36,3352.3306940717002,1092.0504,1097.9697,1095.344,1088.2221,1087.5634
Y37,6255.657660126525,3742.367,3776.237,3798.934,3798.104,3831.152
Y38,6848.671021169763,4348.0,5891.0,6578.0,7103.0,7965.0
Y39,3744.6259562831947,3971.0,4518.0,5347.0,5933.0,6315.0
Y40,3566.0680380437484,4971.0,5137.0,5268.8,5448.4,5606.6
Y41,13522.474646739694,15241.0,15562.1,15822.2,16192.5,16570.4
Y42,2841.399857576417,5813.3,5780.9,5764.6,5899.0,6061.5
Y43,206.56871363381356,2882.0,2911.0,2891.0,2929.0,3015.0
Y44,7220.1427145674825,10611.6,10682.5,10874.6,11138.6,11303.9
Y45,6859.220643465034,10528.1,10638.5,10796.8,11009.8,11071.6
Y46,2920.544921102354,6627.0,6545.0,6144.0,6011.0,5925.0
Y47,1843.5671297191434,6633.0,6552.0,6151.0,6017.0,5931.0
Y48,2209.841484707523,5910.0,5740.0,5620.0,5550.0,5580.0
Y49,-914.5295756912961,2458.7,2438.5,2433.5,2432.7,2441.1
Y50,11393.373192776495,18044.0,17971.0,18022.0,18115.0,18214.0
Y51,2988.160363981272,7867.0,7733.0,7749.0,7800.0,7842.0
Y52,15666.274404187687,20472.0,22631.0,24642.0,26404.0,28928.0
Y53,12929.016579605808,17829.0,18727.0,18762.0,15267.0,13775.0
Y54,4376.697736089331,9765.0,10836.0,12355.0,13979.0,15927.0
Y55,2840.07,3116.18,3472.21,3803.11,4164.57,4687.12
Y56,10077.386095951471,15405.0,17620.0,20153.0,23291.0,28244.0
Y57,-2016.8049106522676,2199.6,2211.1,2283.7,2366.7,2477.4
Y58,6489.836024517894,11126.7,11241.9,11304.6,11564.1,11253.7
Y59,5005.519394372657,10355.7,10462.3,10518.9,10638.2,10674.7
Y60,6128.109626743638,10411.4,10601.4,10754.8,10941.7,10991.8
Y61,7318.235066918597,11585.6,12141.4,12129.6,12427.8,12071.4
Y62,12374.0,19998.5,19194.1,19298.3,16731.6,10097.0
Y63,6869.852754157615,12039.8,11941.5,12122.8,12091.7,11554.0
Y64,5460.745057304835,10000.0,11175.1,11355.5,11607.1,12471.4
Y65,9834.6,10091.5,9753.2,9170.3,8312.2,7702.7
Y66,6278.924868247225,10810.8,11297.4,11698.9,12081.1,12792.3
Y67,6065.272634142887,10926.4,10910.6,11052.3,11385.9,11727.0
Y68,5884.821878742707,10327.5,10441.1,10716.0,11208.9,11345.9
Y69,6820.093330344121,10624.7,11111.6,11113.8,11676.7,12467.4
Y70,8101.4256357523855,11053.8,11672.6,12154.8,12726.6,13657.5
Y71,5333.075668605714,9541.0,9797.1,10591.5,11418.0,12029.9
Y72,10164.3,10184.0,10253.7,10101.8,10112.9,10359.1
Y73,6913.177559960653,10557.0,10271.2,9743.6,9543.9,9055.8
Y74,6919.000307088594,10683.9,10703.2,10589.9,10263.1,10462.2
Y75,5819.525445738854,9379.4,9084.8,9028.6,9158.4,9617.7
Y76,5301.795210844381,8804.3,8365.4,8158.1,8029.0,8272.4
Y77,8015.485514843553,10233.8,10710.4,10730.0,10999.5,11401.0
Y78,6422.348269508235,10425.61,10740.19,11156.42,11535.03,11810.02
Y79,1759.1853142145753,4518.98,5053.22,5712.02,6108.11,6880.9
Y80,1965.4441402337247,5165.3,5396.7,4488.9,4349.7,4169.0
Y81,1605.0308856471856,4634.52,4594.0,4471.59,4544.02,4636.48
Y82,10827.370744355596,14452.06,15460.04,16994.23,18604.08,20098.51
Y83,6014.786544412487,9940.24,10169.12,10500.8,10756.51,10982.52
Y84,1823.2877550893797,3717.0,3784.0,3852.0,3709.0,3761.0
Y85,616.1839483320904,1852.0,2155.0,2152.0,2534.0,2407.0
Y86,858.7398964065649,2666.0,3113.0,2818.0,2690.0,2745.0
Y87,6955.452488484685,9445.0,9758.0,10945.0,12347.0,11728.0
Y88,3359.354051838324,2950.0,8980.0,5700.0,5930.0,6760.0
Y89,3605.7564354479864,749.0,3393.0,5532.0,7612.0,7419.0
Y90,3914.949392397869,6240.0,5220.0,5770.0,5760.0,5270.0
Y91,6153.311146323706,8100.0,8400.0,8800.0,8500.0,8800.0
Y92,-345.83314707168495,1309.25,1332.96,1671.22,1247.06,1126.32
Y93,5747.838708078759,7961.522124,7880.144762,7834.042281,7811.190179,7876.932044
Y94,5201.1673882620125,6818.940605,6808.068775,6826.616113,7121.455572,7189.763667
Y95,4528.603816432809,6556.567073,6691.477647,6867.815696,7153.783337,7149.86989
Y96,7492.644369732531,7563.246815,8276.070465,8772.407446,7992.98888,8097.88432
Y97,5733.675493888233,6335.121402,6297.091716,6355.53714,6760.106504,6608.052647
Y98,7582.234790578334,9131.047774,9169.057104,9079.217031,9293.295217,9003.762213
Y99,6295.867690367588,8039.185746,7908.631386,7840.263257,7963.129617,7666.321479
Y100,7317.223017922359,8641.627995,8642.419661,8816.620618,8799.285497,8993.35407
Y101,2724.7344844231493,2088.622714,2162.075003,2759.10773,2547.947426,2554.177494
Y102,7332.770527112764,8850.409191,8878.049529,8921.286405,9182.042189,9139.435762
