PE,AT,V,AP,RH
462.7174072265625,14.96,41.76,1024.07,73.17
444.37,25.18,62.96,1020.04,59.08
484.42608642578125,5.11,39.4,1012.16,92.14
447.5392150878906,20.86,57.32,1010.24,76.64
470.4420166015625,10.82,37.5,1009.23,96.62
443.32928466796875,26.27,59.44,1012.23,58.77
464.81414794921875,15.89,43.96,1014.02,75.24
479.1712646484375,9.48,44.71,1019.12,66.43
470.29638671875,14.64,45.0,1021.78,41.25
476.1250305175781,11.74,43.56,1015.14,70.72
455.7723388671875,17.99,43.72,1008.64,75.04
453.99,20.14,46.93,1014.66,64.22
435.95501708984375,24.34,73.5,1011.31,84.15
443.4144592285156,25.71,58.59,1012.77,61.83
433.99,26.19,69.34,1009.48,87.59
462.0812683105469,21.42,43.79,1015.76,43.08
467.364501953125,18.21,45.0,1022.86,48.84
476.9089050292969,11.04,41.74,1022.6,77.51
463.5633544921875,14.45,52.75,1023.97,63.59
469.5626220703125,13.97,38.47,1015.15,55.28
463.078125,17.76,42.42,1009.09,66.26
493.6764221191406,5.41,40.07,1019.16,64.77
483.8,7.76,42.28,1008.52,83.31
440.9949035644531,27.23,63.9,1014.3,47.19
440.0850524902344,27.36,48.6,1003.18,54.93
443.25,27.47,70.72,1009.97,74.62
464.16,14.6,39.31,1011.11,72.52
475.8697814941406,7.91,39.96,1023.57,88.44
484.41,5.81,35.79,1012.14,92.28
437.7611083984375,30.53,65.18,1012.69,41.85
445.11,23.87,63.94,1019.02,44.28
438.86,26.09,58.41,1013.64,64.58
435.76788330078125,29.27,66.85,1011.11,63.25
436.65,27.38,74.16,1010.08,78.61
444.091552734375,24.81,63.94,1018.76,44.51
466.85955810546875,12.75,44.03,1007.29,89.46
442.31005859375,24.66,63.73,1011.4,74.52
450.69,16.38,47.45,1010.08,88.86
469.985107421875,13.91,39.35,1014.69,75.51
450.5265808105469,23.18,51.3,1012.04,78.64
445.010009765625,22.47,47.45,1007.62,76.65
470.33453369140625,13.39,44.85,1017.24,80.44
482.8,9.28,41.54,1018.33,79.89
476.4172668457031,11.82,42.86,1014.12,88.28
481.14117431640625,10.27,40.64,1020.63,84.6
448.1859130859375,22.92,63.94,1019.28,42.69
464.6434020996094,16.0,37.87,1020.24,78.41
448.9701232910156,21.22,43.43,1010.96,61.07
474.01239013671875,13.46,44.71,1014.51,50.0
475.2567443847656,9.39,40.11,1029.14,77.29
432.65728759765625,31.07,73.5,1010.58,43.66
467.41,12.82,38.62,1018.71,83.8
430.12,32.57,78.92,1011.6,66.47
473.62,8.11,42.18,1014.82,93.09
472.3859558105469,13.92,39.39,1012.94,80.52
442.99,23.04,59.43,1010.23,68.99
444.94921875,27.31,64.44,1014.65,57.27
488.7982177734375,5.91,39.33,1010.18,95.53
447.46,25.26,61.08,1013.68,71.72
446.11,27.97,58.84,1002.25,57.88
442.44,26.08,52.3,1007.03,63.34
440.0426025390625,29.01,65.71,1013.61,48.07
471.49,12.18,40.1,1016.67,91.87
465.07818603515625,13.76,45.87,1008.89,87.27
442.60284423828125,25.5,58.79,1016.02,64.4
440.37225341796875,28.26,65.34,1014.56,43.4
452.68,21.39,62.96,1019.49,72.24
479.4500427246094,7.26,40.69,1020.43,90.22
473.26507568359375,10.54,34.03,1018.71,74.0
433.8241271972656,27.71,74.34,998.14,71.85
441.2494201660156,23.11,68.3,1017.83,86.62
477.61,7.51,41.01,1024.61,97.41
431.1018371582031,26.46,74.67,1016.65,84.44
432.0388488769531,29.34,74.34,998.58,81.55
477.4821472167969,10.32,42.28,1008.82,75.66
442.0918884277344,22.74,61.02,1009.56,79.41
474.1169128417969,13.48,39.85,1012.71,58.91
435.12,25.52,69.75,1010.36,90.06
446.15,21.58,67.25,1017.39,79.0
434.9631042480469,27.66,76.86,1001.31,69.47
434.7699890136719,26.96,69.45,1013.89,51.47
470.8271179199219,12.29,42.18,1016.53,83.13
466.8534851074219,15.86,43.02,1012.18,40.33
469.70587158203125,13.87,45.08,1024.42,81.69
441.34,24.09,73.68,1014.93,94.55
443.3342590332031,20.45,69.45,1012.53,91.81
464.84259033203125,15.07,39.3,1019.0,63.62
435.3655700683594,32.72,69.75,1009.6,49.35
455.2897644042969,18.23,58.96,1015.55,69.61
433.56890869140625,35.56,68.94,1006.56,38.75
459.8,18.36,51.43,1010.57,90.17
440.9991149902344,26.35,64.05,1009.81,81.24
442.84,25.92,60.95,1014.62,48.46
483.9849853515625,8.01,41.66,1014.49,76.72
459.4623107910156,19.63,52.72,1025.09,51.16
445.31,20.02,67.32,1012.05,76.34
480.6090393066406,10.08,40.72,1022.7,67.3
437.2829284667969,27.23,66.48,1005.23,52.38
445.1036376953125,23.37,63.77,1013.42,76.44
449.77,18.74,59.21,1018.3,91.55
470.71,14.81,43.69,1017.19,71.9
450.2550964355469,23.1,51.3,1011.93,80.05
478.29,10.72,41.38,1021.6,63.77
427.219482421875,29.46,71.94,1006.96,62.26
476.2354736328125,8.1,40.64,1020.66,89.04
440.81341552734375,27.29,62.66,1007.63,58.02
457.05096435546875,17.1,49.69,1005.53,81.82
473.3934020996094,11.49,44.2,1018.79,91.14
441.19671630859375,23.69,65.59,1010.85,88.92
467.0028076171875,13.51,40.89,1011.03,84.83
