PE,AT,V,AP,RH
465.4002685546875,14.96,41.76,1024.07,73.17
444.37,25.18,62.96,1020.04,59.08
478.3435363769531,5.11,39.4,1012.16,92.14
446.48,20.86,57.32,1010.24,76.64
473.8445129394531,10.82,37.5,1009.23,96.62
443.67,26.27,59.44,1012.23,58.77
465.6462707519531,15.89,43.96,1014.02,75.24
478.42,9.48,44.71,1019.12,66.43
475.98,14.64,45.0,1021.78,41.25
475.5777282714844,11.74,43.56,1015.14,70.72
453.7269592285156,17.99,43.72,1008.64,75.04
456.7768859863281,20.14,46.93,1014.66,64.22
440.29,24.34,73.5,1011.31,84.15
443.2439880371094,25.71,58.59,1012.77,61.83
439.0436096191406,26.19,69.34,1009.48,87.59
460.73211669921875,21.42,43.79,1015.76,43.08
469.3343200683594,18.21,45.0,1022.86,48.84
477.2,11.04,41.74,1022.6,77.51
462.2726135253906,14.45,52.75,1023.97,63.59
464.3,13.97,38.47,1015.15,55.28
460.0195617675781,17.76,42.42,1009.09,66.26
494.25341796875,5.41,40.07,1019.16,64.77
483.8,7.76,42.28,1008.52,83.31
443.79815673828125,27.23,63.9,1014.3,47.19
436.06,27.36,48.6,1003.18,54.93
434.89520263671875,27.47,70.72,1009.97,74.62
464.16,14.6,39.31,1011.11,72.52
475.52,7.91,39.96,1023.57,88.44
482.1177978515625,5.81,35.79,1012.14,92.28
437.6138610839844,30.53,65.18,1012.69,41.85
443.392822265625,23.87,63.94,1019.02,44.28
442.02294921875,26.09,58.41,1013.64,64.58
433.872314453125,29.27,66.85,1011.11,63.25
436.65,27.38,74.16,1010.08,78.61
441.8594665527344,24.81,63.94,1018.76,44.51
467.7998046875,12.75,44.03,1007.29,89.46
442.09539794921875,24.66,63.73,1011.4,74.52
450.69,16.38,47.45,1010.08,88.86
469.02,13.91,39.35,1014.69,75.51
450.17901611328125,23.18,51.3,1012.04,78.64
448.6843566894531,22.47,47.45,1007.62,76.65
468.4620666503906,13.39,44.85,1017.24,80.44
482.8,9.28,41.54,1018.33,79.89
476.7,11.82,42.86,1014.12,88.28
474.99,10.27,40.64,1020.63,84.6
444.22,22.92,63.94,1019.28,42.69
461.33,16.0,37.87,1020.24,78.41
451.3724365234375,21.22,43.43,1010.96,61.07
469.5870056152344,13.46,44.71,1014.51,50.0
475.0861511230469,9.39,40.11,1029.14,77.29
432.06,31.07,73.5,1010.58,43.66
467.41,12.82,38.62,1018.71,83.8
433.455078125,32.57,78.92,1011.6,66.47
482.2270202636719,8.11,42.18,1014.82,93.09
469.6695861816406,13.92,39.39,1012.94,80.52
444.398681640625,23.04,59.43,1010.23,68.99
442.77,27.31,64.44,1014.65,57.27
490.17559814453125,5.91,39.33,1010.18,95.53
444.190673828125,25.26,61.08,1013.68,71.72
439.50323486328125,27.97,58.84,1002.25,57.88
442.44,26.08,52.3,1007.03,63.34
443.0487976074219,29.01,65.71,1013.61,48.07
471.49,12.18,40.1,1016.67,91.87
463.28271484375,13.76,45.87,1008.89,87.27
443.5558776855469,25.5,58.79,1016.02,64.4
441.31060791015625,28.26,65.34,1014.56,43.4
451.5868225097656,21.39,62.96,1019.49,72.24
474.91,7.26,40.69,1020.43,90.22
478.5119323730469,10.54,34.03,1018.71,74.0
434.2,27.71,74.34,998.14,71.85
435.3700256347656,23.11,68.3,1017.83,86.62
475.15625,7.51,41.01,1024.61,97.41
431.65,26.46,74.67,1016.65,84.44
430.57,29.34,74.34,998.58,81.55
478.6336669921875,10.32,42.28,1008.82,75.66
443.8502197265625,22.74,61.02,1009.56,79.41
473.0494689941406,13.48,39.85,1012.71,58.91
437.5166015625,25.52,69.75,1010.36,90.06
444.8120422363281,21.58,67.25,1017.39,79.0
437.97393798828125,27.66,76.86,1001.31,69.47
435.4140625,26.96,69.45,1013.89,51.47
468.75,12.29,42.18,1016.53,83.13
466.6,15.86,43.02,1012.18,40.33
465.48,13.87,45.08,1024.42,81.69
437.4431457519531,24.09,73.68,1014.93,94.55
443.8031005859375,20.45,69.45,1012.53,91.81
465.9846496582031,15.07,39.3,1019.0,63.62
435.5682678222656,32.72,69.75,1009.6,49.35
455.32403564453125,18.23,58.96,1015.55,69.61
429.69,35.56,68.94,1006.56,38.75
453.1667785644531,18.36,51.43,1010.57,90.17
441.97296142578125,26.35,64.05,1009.81,81.24
442.84,25.92,60.95,1014.62,48.46
483.6255187988281,8.01,41.66,1014.49,76.72
459.8517150878906,19.63,52.72,1025.09,51.16
445.31,20.02,67.32,1012.05,76.34
480.4250183105469,10.08,40.72,1022.7,67.3
434.2652587890625,27.23,66.48,1005.23,52.38
447.0469055175781,23.37,63.77,1013.42,76.44
449.73406982421875,18.74,59.21,1018.3,91.55
470.71,14.81,43.69,1017.19,71.9
452.17,23.1,51.3,1011.93,80.05
478.29,10.72,41.38,1021.6,63.77
427.9420471191406,29.46,71.94,1006.96,62.26
480.0130310058594,8.1,40.64,1020.66,89.04
438.5661315917969,27.29,62.66,1007.63,58.02
457.32,17.1,49.69,1005.53,81.82
475.51,11.49,44.2,1018.79,91.14
440.20831298828125,23.69,65.59,1010.85,88.92
472.07244873046875,13.51,40.89,1011.03,84.83
